Date,HT,AT,HS,AS
20/2/2010,Universidad de Concepcion,San Luis,1,1
20/2/2010,Audax Italiano,Colo Colo,2,3
21/2/2010,Cobresal,Wanderers,1,0
21/2/2010,Palestino,Cobreloa,1,0
21/2/2010,San Felipe,O'Higgins,2,0
21/2/2010,Ñublense,La Serena,3,1
21/2/2010,Universidad de Chile,Santiago Morning,2,1
13/3/2010,San Luis,Ñublense,3,3
14/3/2010,Cobreloa,San Felipe,0,0
14/3/2010,Santiago Morning,Unión Española,1,1
14/3/2010,Wanderers,Palestino,2,0
14/3/2010,La Serena,Audax Italiano,1,3
6/4/2010,Huachipato,Cobresal,4,3
14/7/2010,Colo Colo,Everton,2,0
14/7/2010,O'Higgins,Universidad de Chile,3,3
21/7/2010,Universidad Catolica,Universidad de Concepcion,1,0
19/3/2010,Colo Colo,La Serena,6,1
20/3/2010,O'Higgins,Wanderers,2,2
20/3/2010,Palestino,Universidad de Chile,0,1
21/3/2010,Everton,Santiago Morning,1,1
21/3/2010,Cobresal,San Luis,4,2
21/3/2010,Audax Italiano,Universidad Catolica,1,3
14/4/2010,Universidad de Concepcion,Unión Española,3,3
5/5/2010,Ñublense,Cobreloa,1,1
12/5/2010,San Felipe,Huachipato,1,1
26/3/2010,Universidad de Chile,San Felipe,4,2
27/3/2010,Cobreloa,O'Higgins,1,1
27/3/2010,Wanderers,Universidad Catolica,2,4
27/3/2010,Unión Española,Ñublense,1,3
28/3/2010,San Luis,Colo Colo,0,2
28/3/2010,Cobresal,Palestino,2,1
28/3/2010,La Serena,Everton,2,1
28/3/2010,Santiago Morning,Universidad de Concepcion,2,0
10/7/2010,Huachipato,Audax Italiano,1,2
1/4/2010,La Serena,Huachipato,0,3
3/4/2010,Universidad Catolica,Colo Colo,0,0
3/4/2010,Universidad de Concepcion,Cobresal,1,1
3/4/2010,Audax Italiano,San Luis,2,2
3/4/2010,Ñublense,Santiago Morning,1,1
3/4/2010,Palestino,O'Higgins,1,0
3/4/2010,Universidad de Chile,Unión Española,4,3
4/4/2010,San Felipe,Wanderers,1,1
4/4/2010,Everton,Cobreloa,2,1
9/4/2010,Universidad Catolica,Ñublense,4,2
10/4/2010,O'Higgins,Santiago Morning,1,0
10/4/2010,Unión Española,La Serena,1,1
11/4/2010,San Luis,San Felipe,0,1
